,Name,link,Year,Age,Team,League,Position,Games Played,TotalMin,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blank,OWS,DWS,WS,WS/48,blank,OBPM,DBPM,BPM,VORP
39,Cole Aldrich,aldrico01,2010-11,22,OKC,NBA,C,18,142,7.0,.537,.000,.267,11.1,17.5,14.4,4.0,1.8,3.6,32.3,7.9,,0.0,0.2,0.2,.066,,-3.4,2.6,-0.8,0.0
40,LaMarcus Aldridge,aldrila01,2006-07,21,POR,NBA,C,63,1392,17.1,.533,.004,.240,12.6,15.3,13.9,3.2,0.9,4.2,7.5,19.3,,2.5,1.0,3.4,.118,,-0.3,-0.6,-0.9,0.4
41,Chuck Aleksinas,aleksch01,1984-85,25,GSW,NBA,C,74,1114,9.1,.509,.003,.223,8.1,20.1,13.6,4.4,0.6,0.8,16.3,15.6,,0.1,0.4,0.4,.019,,-3.9,-2.0,-5.9,-1.1
42,Cliff Alexander,alexacl01,2015-16,20,POR,NBA,PF,8,36,11.6,.500,.000,.000,6.0,12.1,9.0,0.0,1.4,4.4,9.1,13.3,,0.0,0.0,0.0,.052,,-5.7,-1.3,-7.0,0.0
43,Cory Alexander,alexaco01,1995-96,22,SAS,NBA,PG,60,560,8.7,.506,.426,.161,1.9,6.3,4.2,31.6,2.5,0.3,29.1,18.8,,-0.5,0.7,0.2,.021,,-3.1,-1.6,-4.7,-0.4
44,Courtney Alexander,alexaco02,2000-01,23,TOT,NBA,PG,65,1382,11.6,.484,.080,.262,3.5,8.4,5.9,8.0,1.7,0.3,10.5,23.2,,0.3,0.5,0.8,.027,,-1.8,-2.5,-4.4,-0.8
45,Gary Alexander,alexaga01,1993-94,24,TOT,NBA,PF,11,55,8.6,.529,.000,.643,14.7,16.8,15.8,5.4,2.9,0.0,30.8,21.0,,-0.1,0.1,0.0,-0.032,,-5.1,-0.7,-5.8,-0.1
46,Joe Alexander,alexajo01,2008-09,22,MIL,NBA,SF,59,716,10.1,.494,.188,.339,6.9,12.3,9.5,9.5,1.1,3.4,15.6,20.9,,-0.3,0.7,0.4,.030,,-3.4,0.2,-3.3,-0.2
47,Victor Alexander,alexavi01,1991-92,22,GSW,NBA,C,80,1350,13.9,.561,.002,.325,8.7,18.3,13.6,3.1,1.5,2.7,14.8,18.3,,1.1,1.4,2.5,.090,,-2.2,-0.7,-2.9,-0.3
48,Steve Alford,alforst01,1987-88,23,DAL,NBA,PG,28,197,11.6,.472,.145,.309,1.7,10.9,6.3,15.4,4.3,0.9,16.1,15.6,,0.0,0.3,0.3,.082,,-2.6,1.8,-0.8,0.1
51,Jarrett Allen,allenja01,2017-18,19,BRK,NBA,C,67,1322,17.7,.633,.037,.372,11.0,17.9,14.4,5.7,1.0,4.1,15.0,16.8,,2.5,1.3,3.9,.141,,-1.0,1.2,0.2,0.7
52,Jerome Allen,allenje01,1995-96,23,MIN,NBA,SG,41,362,7.8,.447,.314,.343,1.7,6.6,4.1,20.8,3.0,1.1,22.0,19.0,,-0.5,0.3,-0.3,-0.033,,-4.4,-1.6,-6.1,-0.4
53,Kadeem Allen,allenka01,2017-18,25,BOS,NBA,PG,12,39,-1.9,.322,.500,.667,2.9,8.3,5.6,10.0,1.3,0.0,34.0,13.5,,-0.1,0.0,-0.1,-0.100,,-9.0,0.0,-9.0,-0.1
54,Lavoy Allen,allenla01,2011-12,22,PHI,NBA,PF,41,624,12.7,.488,.000,.084,8.3,22.2,15.2,8.4,1.1,2.2,10.4,14.5,,0.4,1.2,1.6,.124,,-3.1,1.8,-1.3,0.1
56,Malik Allen,allenma01,2001-02,23,MIA,NBA,PF,12,161,15.0,.469,.020,.196,11.0,16.6,13.8,5.5,1.0,3.8,3.5,17.0,,0.2,0.3,0.5,.141,,-2.3,0.9,-1.4,0.0
57,Randy Allen,allenra01,1988-89,24,SAC,NBA,SG,7,43,6.9,.428,.053,.105,7.4,10.2,8.7,0.0,1.1,1.3,9.1,20.9,,-0.1,0.0,0.0,-0.035,,-7.1,-5.2,-12.4,-0.1
58,Ray Allen,allenra02,1996-97,21,MIL,NBA,SG,82,2532,14.6,.541,.328,.274,4.7,11.0,7.9,13.9,1.6,0.3,12.8,21.4,,3.3,1.5,4.9,.092,,1.6,-1.2,0.3,1.5
59,Tony Allen,allento01,2004-05,23,BOS,NBA,SG,77,1262,14.7,.542,.080,.393,8.0,12.3,10.2,8.2,3.1,1.4,14.5,18.9,,1.2,1.6,2.7,.103,,-0.7,0.6,-0.1,0.6
62,Lance Allred,allrela01,2007-08,26,CLE,NBA,C,3,10,-1.0,.307,.000,.500,0.0,11.8,5.7,0.0,0.0,0.0,0.0,22.1,,0.0,0.0,0.0,-0.125,,-12.6,-7.1,-19.7,0.0
63,Darrell Allums,allumda01,1980-81,22,DAL,NBA,PF,22,276,5.3,.385,.015,.328,7.6,19.7,13.4,12.5,0.9,1.7,23.1,15.1,,-0.5,0.2,-0.3,-0.054,,-5.9,0.4,-5.6,-0.2
64,Morris Almond,almonmo01,2007-08,22,UTA,NBA,SG,9,39,2.0,.368,.267,.400,0.0,6.2,3.1,10.5,1.3,0.0,10.2,22.5,,-0.1,0.0,-0.1,-0.081,,-6.9,-4.0,-11.0,-0.1
65,Derrick Alston,alstode01,1994-95,22,PHI,NBA,C,64,1032,11.6,.481,.016,.465,11.0,13.8,12.4,5.1,2.0,2.5,14.6,15.7,,0.0,1.0,1.0,.045,,-2.9,0.5,-2.4,-0.1
66,Rafer Alston,alstora01,1999-00,23,MIL,NBA,PG,27,361,4.3,.310,.147,.042,1.6,5.8,3.7,26.8,1.7,0.0,23.1,15.5,,-0.7,0.0,-0.7,-0.095,,-6.0,-3.4,-9.5,-0.7
67,Peter Aluma,alumape01,1998-99,25,SAC,NBA,C,2,5,3.1,.500,.000,.000,21.2,21.0,21.1,0.0,10.0,12.7,50.0,34.1,,0.0,0.0,0.0,-0.206,,-15.2,8.2,-7.1,0.0
68,John Amaechi,amaecjo01,1995-96,25,CLE,NBA,PF,28,357,3.1,.456,.000,.471,4.8,14.8,9.7,4.1,1.0,2.7,28.7,16.8,,-0.9,0.4,-0.6,-0.075,,-9.1,0.1,-9.0,-0.6
69,Ashraf Amaya,amayaas01,1995-96,24,VAN,NBA,PF,54,1104,11.8,.534,.004,.591,11.7,20.8,16.1,5.1,1.1,0.7,15.2,15.5,,0.7,1.1,1.8,.078,,-3.4,-0.5,-3.9,-0.5
70,Al-Farouq Aminu,aminual01,2010-11,20,LAC,NBA,SF,81,1452,9.6,.499,.352,.293,6.1,15.4,10.8,6.4,2.1,1.3,18.3,17.3,,-0.8,1.4,0.7,.022,,-3.1,0.1,-3.0,-0.4
71,Lou Amundson,amundlo01,2006-07,24,TOT,NBA,PF,11,89,9.6,.412,.000,.667,17.6,20.2,18.9,1.7,0.6,6.9,20.5,12.7,,-0.1,0.1,0.1,.039,,-5.5,1.4,-4.1,0.0
73,Chris Andersen,anderch01,2001-02,23,DEN,NBA,C,24,262,13.8,.417,.054,.378,15.8,17.4,16.5,4.2,1.4,7.9,13.1,17.0,,0.0,0.3,0.3,.058,,-4.1,2.2,-1.9,0.0
74,David Andersen,anderda03,2009-10,29,HOU,NBA,C,63,891,12.1,.497,.229,.197,6.7,20.6,13.4,8.1,0.9,1.0,9.1,20.2,,0.4,0.9,1.3,.070,,-2.5,-1.3,-3.8,-0.4
75,Alan Anderson,anderal01,2005-06,23,CHA,NBA,SF,36,564,10.4,.520,.320,.227,4.4,10.3,7.2,9.3,1.0,0.6,13.9,18.2,,0.2,0.3,0.4,.037,,-1.9,-1.8,-3.7,-0.2
77,Antonio Anderson,anderan02,2009-10,24,OKC,NBA,SF,1,15,-1.7,.333,.000,.000,7.9,0.0,3.8,0.0,0.0,0.0,25.0,12.0,,0.0,0.0,0.0,-0.104,,-8.2,-3.1,-11.4,0.0
81,Derek Anderson,anderde01,1997-98,23,CLE,NBA,SF,66,1839,15.3,.531,.143,.538,3.7,8.7,6.2,21.3,2.5,0.5,15.0,21.4,,2.6,2.8,5.3,.139,,0.4,0.7,1.0,1.4
82,Dwight Anderson,anderdw01,1982-83,22,DEN,NBA,PG,5,33,10.6,.571,.000,.714,0.0,6.1,3.1,11.5,1.3,0.0,21.4,26.2,,0.0,0.0,0.0,.001,,-3.9,-5.1,-9.0,-0.1
83,Eric Anderson,anderer01,1992-93,22,NYK,NBA,PF,16,44,11.3,.443,.000,.722,15.6,19.6,17.7,9.9,3.5,1.5,17.4,28.2,,0.0,0.1,0.1,.091,,-4.5,2.2,-2.3,0.0
84,Greg Anderson,andergr01,1987-88,23,SAS,NBA,PF,82,1984,14.7,.531,.007,.434,8.7,19.4,14.0,5.3,1.3,3.4,13.7,20.8,,0.8,1.5,2.3,.056,,-2.2,-0.6,-2.7,-0.4
85,J.J. Anderson,anderjj01,1982-83,22,TOT,NBA,SF,65,1202,13.7,.526,.011,.462,10.4,14.4,12.5,7.6,2.3,0.9,14.8,17.4,,0.9,1.4,2.3,.094,,-0.7,0.3,-0.3,0.5
86,James Anderson,anderja01,2010-11,21,SAS,NBA,SF,26,286,8.5,.529,.568,.222,0.8,8.3,4.7,9.2,0.5,1.5,12.8,16.4,,0.1,0.2,0.3,.051,,-1.9,-1.5,-3.4,-0.1
88,Justin Anderson,anderju01,2015-16,22,DAL,NBA,SF,55,647,12.3,.522,.474,.314,3.1,19.3,11.2,6.8,1.5,3.2,10.8,15.8,,0.3,0.8,1.1,.083,,-2.5,1.3,-1.2,0.1
89,Kenny Anderson,anderke01,1991-92,21,NJN,NBA,PG,64,1086,12.8,.430,.027,.204,3.6,9.0,6.2,26.5,3.0,0.5,15.6,22.9,,-0.6,1.1,0.5,.022,,-2.7,-0.9,-3.6,-0.5
91,Kyle Anderson,anderky01,2014-15,21,SAS,NBA,SF,33,358,8.2,.389,.124,.157,1.6,20.8,11.4,10.9,2.1,1.5,9.5,13.4,,-0.3,0.6,0.3,.044,,-5.2,2.4,-2.7,-0.1
92,Michael Anderson,andermi01,1988-89,22,SAS,NBA,PG,36,730,10.5,.483,.040,.469,6.3,7.1,6.7,26.9,2.8,0.2,28.5,15.7,,-0.5,0.6,0.2,.010,,-3.0,-0.4,-3.4,-0.3
93,Nick Anderson,anderni01,1989-90,22,ORL,NBA,SG,81,1785,14.9,.536,.023,.351,6.1,12.7,9.3,10.5,1.8,1.0,13.7,22.1,,1.2,0.7,1.8,.049,,-0.7,-1.0,-1.7,0.1
94,Richard Anderson,anderri01,1982-83,22,SDC,NBA,C,78,1274,10.4,.437,.044,.160,9.2,15.6,12.2,12.1,2.1,1.2,16.8,16.9,,-0.3,0.8,0.5,.017,,-2.4,-0.2,-2.6,-0.2
95,Ron Anderson,anderro01,1984-85,26,CLE,NBA,SF,36,520,10.7,.484,.010,.256,8.1,10.2,9.2,9.1,0.8,0.7,13.5,19.4,,0.0,0.3,0.3,.032,,-2.4,-1.0,-3.5,-0.2
96,Ryan Anderson,anderry01,2008-09,20,NJN,NBA,PF,66,1312,13.6,.532,.464,.285,9.3,19.0,14.1,6.4,1.8,1.2,12.1,18.6,,1.3,1.2,2.5,.090,,-0.1,-1.0,-1.1,0.3
97,Shandon Anderson,andersh01,1996-97,23,UTA,NBA,SG,65,1066,10.4,.534,.148,.311,6.5,14.0,10.5,7.1,1.4,0.6,16.8,18.9,,0.1,1.2,1.2,.056,,-2.2,-0.7,-2.9,-0.2
98,Willie Anderson,anderwi01,1988-89,22,SAS,NBA,SF,81,2738,16.6,.534,.016,.225,5.8,11.1,8.4,21.1,2.5,1.4,15.6,23.8,,2.1,2.8,4.9,.085,,0.9,0.6,1.5,2.4
100,Martynas Andriuskevicius,andrima01,2005-06,19,CLE,NBA,C,6,9,15.5,.000,.000,.000,13.0,39.8,26.3,0.0,11.9,0.0,0.0,5.1,,0.0,0.0,0.0,.155,,-6.8,6.8,0.1,0.0
102,Ike Anigbogu,anigbik01,2017-18,19,IND,NBA,C,10,28,23.2,.558,.000,.667,20.4,16.1,18.2,0.0,1.8,9.5,14.7,21.7,,0.1,0.0,0.1,.177,,-4.1,-1.3,-5.4,0.0
103,Michael Ansley,anslemi01,1989-90,22,ORL,NBA,SF,72,1221,17.3,.554,.000,.488,15.7,15.6,15.6,4.8,0.9,0.8,8.1,19.7,,3.0,0.3,3.3,.129,,1.3,-2.8,-1.5,0.1
104,Chris Anstey,anstech01,1997-98,23,DAL,NBA,C,41,680,13.2,.455,.069,.320,8.5,17.4,12.8,8.7,2.4,2.8,13.5,20.5,,-0.2,0.9,0.6,.044,,-3.6,0.5,-3.1,-0.2
105,Giannis Antetokounmpo,antetgi01,2013-14,19,MIL,NBA,SF,77,1897,10.8,.518,.282,.483,4.6,16.3,10.2,12.1,1.7,2.6,19.4,15.0,,0.1,1.1,1.2,.031,,-2.5,0.7,-1.8,0.1
106,Thanasis Antetokounmpo,antetth01,2015-16,23,NYK,NBA,SF,2,6,32.9,.750,.250,.000,0.0,17.9,9.1,0.0,0.0,0.0,0.0,30.2,,0.0,0.0,0.0,.291,,6.3,-10.5,-4.1,0.0
107,Carmelo Anthony,anthoca01,2003-04,19,DEN,NBA,SF,82,2995,17.6,.509,.146,.358,6.8,12.1,9.4,13.8,1.7,1.0,12.7,28.5,,3.7,2.4,6.1,.098,,1.2,-1.2,0.1,1.6
108,Greg Anthony,anthogr01,1991-92,24,NYK,NBA,PG,82,1510,10.6,.443,.126,.363,2.5,7.7,5.2,28.6,2.0,0.4,16.3,17.4,,0.2,2.0,2.2,.070,,-2.6,-0.3,-2.8,-0.3
109,Joel Anthony,anthojo01,2007-08,25,MIA,NBA,PF,24,498,8.8,.521,.000,.817,9.0,13.4,11.2,0.9,1.0,5.0,17.2,9.4,,0.1,0.4,0.6,.054,,-4.8,1.4,-3.4,-0.2
110,Pero Antic,anticpe01,2013-14,31,ATL,NBA,C,50,925,11.7,.545,.582,.224,7.2,18.9,13.1,9.8,1.0,1.0,14.5,18.6,,0.5,0.9,1.4,.075,,-0.5,-0.9,-1.4,0.1
111,OG Anunoby,anunoog01,2017-18,20,TOR,NBA,SF,68,1357,9.6,.575,.563,.180,3.2,9.8,6.6,5.3,1.8,0.6,11.0,12.3,,1.1,1.4,2.5,.089,,0.0,0.3,0.3,0.8
112,Keith Appling,applike01,2015-16,23,ORL,NBA,PG,5,27,-4.8,.338,.375,.250,0.0,4.2,2.1,5.0,1.9,0.0,25.3,19.5,,-0.1,0.0,-0.1,-0.199,,-10.3,-2.7,-13.0,-0.1
113,Rafael Araujo,araujra01,2004-05,24,TOR,NBA,C,59,736,7.1,.492,.017,.314,8.9,19.7,14.2,3.4,1.5,0.8,20.7,15.6,,-0.4,0.7,0.3,.016,,-5.2,-0.7,-5.9,-0.7
115,Robert Archibald,archiro01,2002-03,22,MEM,NBA,PF,12,72,2.4,.340,.000,.900,9.5,17.0,13.3,6.1,0.0,2.9,20.0,21.8,,-0.3,0.0,-0.2,-0.158,,-9.5,-2.2,-11.7,-0.2
116,Tiny Archibald,architi01,1970-71,22,CIN,NBA,PG,82,2867,14.0,.507,,.405,,,3.8,19.9,,,,,,3.4,1.7,5.1,.085,,,,,
117,Ryan Arcidiacono,arcidry01,2017-18,23,CHI,NBA,PG,19,185,8.5,.606,.826,.174,0.0,6.0,2.9,14.6,2.4,0.0,16.8,7.0,,0.2,0.1,0.3,.075,,-2.4,-1.1,-3.5,-0.1
118,Jim Ard,ardji01,1970-71,22,NYA,ABA,C,73,1027,11.8,.485,.008,.346,,,16.0,5.3,,,19.7,20.3,,0.3,0.7,1.0,.046,,,,,
119,Gilbert Arenas,arenagi01,2001-02,20,GSW,NBA,PG,47,1155,17.0,.562,.294,.417,3.7,8.7,6.1,24.8,3.0,0.6,17.6,20.1,,2.1,0.7,2.7,.114,,2.3,-1.1,1.2,0.9
120,Trevor Ariza,arizatr01,2004-05,19,NYK,NBA,SF,80,1382,13.3,.503,.033,.447,7.5,13.1,10.3,9.8,2.7,1.0,13.6,17.8,,0.8,1.3,2.1,.073,,-1.6,0.7,-1.0,0.4
122,Joe Arlauckas,arlaujo01,1987-88,22,SAC,NBA,SF,9,85,7.9,.365,.000,.186,7.6,9.0,8.3,13.3,1.7,2.6,7.9,24.0,,-0.1,0.1,-0.1,-0.045,,-4.9,-1.6,-6.5,-0.1
123,B.J. Armstrong,armstbj01,1989-90,22,CHI,NBA,PG,81,1291,11.9,.530,.015,.199,1.7,7.6,4.7,20.7,1.8,0.3,16.3,16.9,,1.0,0.8,1.7,.064,,-2.5,-2.4,-4.8,-0.9
125,Brandon Armstrong,armstbr01,2001-02,21,NJN,NBA,SG,35,196,3.8,.358,.200,.118,5.7,3.5,4.6,6.5,1.9,0.4,8.2,22.3,,-0.4,0.2,-0.2,-0.054,,-5.9,-2.8,-8.7,-0.3
127,Darrell Armstrong,armstda01,1994-95,26,ORL,NBA,PG,3,8,40.2,.563,.750,.250,14.8,0.0,7.2,76.1,6.3,0.0,10.1,53.0,,0.1,0.0,0.1,.492,,31.7,3.1,34.8,0.1
128,Hilton Armstrong,armsthi01,2006-07,22,NOK,NBA,C,56,634,12.2,.570,.000,.536,10.3,17.0,13.6,2.5,1.0,3.3,18.5,13.6,,0.5,0.7,1.2,.091,,-3.1,0.5,-2.6,-0.1
132,Bob Arnzen,arnzebo01,1969-70,22,NYA,ABA,SF,13,98,9.0,.395,.021,.125,,,10.8,7.5,,,13.6,22.5,,-0.2,0.1,-0.1,-0.054,,,,,
133,Carlos Arroyo,arroyca01,2001-02,22,TOT,NBA,PG,37,371,12.4,.467,.018,.162,3.5,9.0,6.2,31.2,1.6,0.2,16.2,17.2,,0.2,0.1,0.4,.047,,-2.3,-2.4,-4.8,-0.3
134,Darrell Arthur,arthuda01,2008-09,20,MEM,NBA,PF,76,1464,11.3,.456,.005,.138,8.9,20.3,14.5,5.0,1.9,2.9,9.2,16.3,,-0.1,1.8,1.7,.055,,-3.9,0.8,-3.1,-0.4
136,Jamel Artis,artisja01,2017-18,25,ORL,NBA,SG,9,114,5.1,.360,.370,.185,1.9,13.7,7.8,13.1,0.0,0.7,3.3,11.6,,-0.1,0.0,0.0,-0.016,,-5.2,-1.8,-7.0,-0.1
137,Omer Asik,asikom01,2010-11,24,CHI,NBA,C,82,989,11.8,.559,.000,1.028,13.7,22.3,18.1,4.7,1.1,4.3,23.8,12.5,,0.5,2.2,2.7,.130,,-3.5,3.0,-0.5,0.4
138,Vincent Askew,askewvi01,1987-88,21,PHI,NBA,SG,14,234,7.1,.330,.000,.149,3.0,8.0,5.5,19.8,2.1,1.5,13.2,16.4,,-0.4,0.2,-0.2,-0.043,,-5.4,-0.5,-5.9,-0.2
139,Keith Askins,askinke01,1990-91,23,MIA,NBA,SF,39,266,13.5,.467,.309,.309,12.4,16.2,14.3,10.2,2.9,3.0,10.7,15.8,,0.2,0.4,0.6,.103,,-0.6,2.0,1.4,0.2
142,Chucky Atkins,atkinch01,1999-00,25,ORL,NBA,PG,82,1626,14.4,.489,.220,.179,1.3,7.1,4.2,30.9,1.6,0.1,15.1,24.3,,1.1,1.3,2.4,.072,,0.4,-2.6,-2.3,-0.1
145,Stacey Augmon,augmost01,1991-92,23,ATL,NBA,SG,82,2505,14.4,.526,.007,.356,7.9,9.9,8.9,11.4,2.4,0.6,14.8,20.1,,1.5,2.2,3.7,.071,,-0.3,0.6,0.3,1.5
146,D.J. Augustin,augusdj01,2008-09,21,CHA,NBA,PG,72,1908,14.9,.587,.396,.375,1.1,7.5,4.3,22.6,1.2,0.1,14.1,20.8,,3.6,1.5,5.1,.128,,1.6,-2.3,-0.7,0.6
147,James Augustine,augusja01,2006-07,22,ORL,NBA,PF,2,7,16.6,.333,.000,.000,18.0,34.4,26.4,48.9,0.0,0.0,0.0,19.9,,0.0,0.0,0.0,.168,,3.3,1.8,5.0,0.0
148,Isaac Austin,austiis01,1991-92,22,UTA,NBA,C,31,112,15.0,.515,.000,.652,11.6,23.1,17.6,6.7,0.9,1.1,11.9,25.9,,0.1,0.2,0.3,.112,,-2.8,-2.4,-5.2,-0.1
150,Ken Austin,austike01,1983-84,22,DET,NBA,SF,7,28,5.6,.462,.000,.000,7.3,4.0,5.7,4.8,1.7,2.0,18.8,22.0,,0.0,0.0,0.0,-0.046,,-5.1,-1.7,-6.9,0.0
