,Name,link,Year,Age,Team,League,Position,Games Played,Games Started,MinPerGame,FGPerGame,FGAPerGame,FG%PerGame,3pPerGame,3PAPerGame,3p%PerGame,2pPerGame,2pAPerGame,2p%PerGame,eFG%PerGame,FTPerGame,FTAPerGame,FT%PerGame,ORGPerGame,DRBPerGame,TotalRebPerGame,AstPerGame,StealPerGame,BlkPerGame,TOVPerGame,FoulsPerGame,PtsPerGame
2084,Dontae' Jones,jonesdo01,1997-98,22,BOS,NBA,SF,15,0,6.1,1.3,3.8,.333,0.4,1.5,.261,0.9,2.3,.382,.386,0.0,0.0,,0.2,0.4,0.6,0.3,0.1,0.2,0.7,0.8,2.9
2085,Dwayne Jones,jonesdw02,2005-06,22,BOS,NBA,PF,14,0,6.2,0.3,0.7,.400,0.0,0.0,,0.3,0.7,.400,.400,0.4,0.9,.462,0.7,1.5,2.2,0.1,0.1,0.2,0.2,1.0,1.0
2086,Dwight Jones,jonesdw01,1973-74,21,ATL,NBA,PF,74,,19.6,3.2,6.8,.474,,,,3.2,6.8,.474,.474,1.6,2.1,.744,2.0,4.2,6.1,1.2,0.4,0.9,,2.7,8.0
2087,Earl Jones,jonesea01,1984-85,24,LAL,NBA,C,2,0,3.5,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
2088,Eddie Jones,jonesed02,1994-95,23,LAL,NBA,SG,64,58,31.0,5.3,11.6,.460,1.4,3.8,.370,3.9,7.8,.504,.521,1.9,2.6,.722,1.2,2.7,3.9,2.0,2.0,0.6,1.2,2.7,14.0
2089,Edgar Jones,jonesed01,1980-81,24,NJN,NBA,PF,60,,15.8,3.2,6.0,.529,0.0,0.1,.000,3.2,5.9,.535,.529,2.4,3.6,.670,1.5,2.9,4.4,0.7,0.6,1.4,1.7,3.1,8.7
2090,Fred Jones,jonesfr01,2002-03,23,IND,NBA,SG,19,1,6.1,0.5,1.3,.375,0.1,0.4,.286,0.4,0.9,.412,.417,0.2,0.2,.750,0.2,0.3,0.5,0.3,0.3,0.1,0.3,0.7,1.2
2091,Hutch Jones,joneshu01,1982-83,23,SDC,NBA,SF,9,0,9.4,1.9,4.1,.459,0.0,0.0,,1.9,4.1,.459,.459,0.7,0.7,1.000,1.1,0.8,1.9,0.4,0.3,0.0,0.7,1.6,4.4
2093,Jalen Jones,jonesja04,2017-18,24,TOT,NBA,SF,13,0,8.2,1.1,2.8,.389,0.4,0.8,.455,0.7,1.9,.360,.458,0.5,0.6,.750,0.6,1.2,1.8,0.2,0.2,0.0,0.2,1.0,3.0
2094,James Jones,jonesja02,2003-04,23,IND,NBA,SF,6,0,4.3,0.3,1.5,.222,0.2,0.7,.250,0.2,0.8,.200,.278,0.3,0.3,1.000,0.0,0.3,0.3,0.0,0.2,0.0,0.0,0.2,1.2
2095,Jimmy Jones,jonesji01,1967-68,23,NOB,ABA,SG,78,,41.7,7.1,15.1,.467,0.0,0.1,.222,7.0,15.0,.468,.467,4.6,6.5,.709,,,5.7,2.3,,,3.1,3.1,18.8
2097,Jumaine Jones,jonesju01,1999-00,20,PHI,NBA,SF,33,0,4.2,0.7,1.8,.379,0.1,0.1,.500,0.6,1.6,.370,.397,0.3,0.5,.611,0.5,0.7,1.2,0.2,0.2,0.2,0.4,0.3,1.7
2099,Kevin Jones,joneske01,2012-13,23,CLE,NBA,PF,32,0,10.4,1.3,3.3,.402,0.0,0.0,,1.3,3.3,.402,.402,0.3,0.5,.600,1.2,1.3,2.4,0.3,0.3,0.2,0.3,0.8,3.0
2100,Larry Jones,jonesla01,1964-65,22,PHI,NBA,SG,23,,15.6,2.0,6.7,.307,,,,2.0,6.7,.307,.307,1.6,2.3,.712,,,2.5,1.7,,,,2.0,5.7
2101,Major Jones,jonesma01,1979-80,26,HOU,NBA,PF,82,,18.8,2.3,4.8,.480,0.0,0.0,.333,2.3,4.7,.481,.481,0.7,1.3,.565,1.8,2.9,4.6,0.8,0.6,0.8,1.4,2.3,5.3
2102,Mark Jones,jonesma02,1983-84,22,NJN,NBA,PG,6,0,2.7,0.5,1.0,.500,0.0,0.2,.000,0.5,0.8,.600,.500,0.2,0.3,.500,0.3,0.0,0.3,0.8,0.0,0.0,0.3,0.3,1.2
2103,Mark Jones,jonesma03,2004-05,29,ORL,NBA,SF,10,0,11.6,0.9,3.1,.290,0.0,0.4,.000,0.9,2.7,.333,.290,0.5,1.0,.500,0.6,0.7,1.3,0.6,0.5,0.2,0.3,1.6,2.3
2104,Nick Jones,jonesni01,1967-68,22,SDR,NBA,PG,42,,14.4,2.0,5.5,.371,,,,2.0,5.5,.371,.371,1.3,1.6,.797,,,1.6,2.1,,,,2.0,5.4
2105,Ozell Jones,jonesoz01,1984-85,24,SAS,NBA,C,67,6,13.3,1.6,2.7,.589,0.0,0.0,.000,1.6,2.7,.592,.589,0.5,1.2,.398,1.0,2.6,3.6,0.8,0.4,0.9,0.9,2.1,3.7
2106,Perry Jones,jonespe01,2012-13,21,OKC,NBA,SF,38,1,7.4,1.0,2.6,.394,0.0,0.1,.000,1.0,2.6,.402,.394,0.3,0.4,.667,0.3,1.3,1.6,0.3,0.1,0.2,0.4,0.6,2.3
2107,Popeye Jones,jonespo01,1993-94,23,DAL,NBA,PF,81,47,21.9,2.4,5.0,.479,0.0,0.0,.000,2.4,5.0,.480,.479,1.0,1.3,.729,3.7,3.8,7.5,1.2,0.8,0.4,1.2,3.0,5.8
2108,Rich Jones,jonesri01,1969-70,23,DLC,ABA,SF,2,,25.0,4.5,10.0,.450,0.0,0.0,,4.5,10.0,.450,.450,5.0,5.5,.909,3.5,8.0,11.5,0.5,,,3.0,5.5,14.0
2111,Shelton Jones,jonessh01,1988-89,22,TOT,NBA,SF,51,34,13.4,1.8,4.1,.445,0.0,0.0,.000,1.8,4.1,.447,.445,1.1,1.6,.725,0.6,1.6,2.2,0.8,0.4,0.3,0.9,1.1,4.8
2112,Solomon Jones,jonesso01,2006-07,22,ATL,NBA,PF,58,8,11.5,1.1,2.2,.508,0.0,0.0,.000,1.1,2.2,.512,.508,1.0,1.3,.787,0.8,1.5,2.3,0.2,0.2,0.7,0.4,2.1,3.3
2113,Steve Jones,jonesst01,1967-68,25,OAK,ABA,SG,76,,25.7,3.7,8.8,.418,0.3,0.7,.426,3.4,8.0,.417,.435,2.4,3.1,.798,,,4.5,1.5,,,1.8,3.1,10.1
2114,Terrence Jones,joneste01,2012-13,21,HOU,NBA,PF,19,0,14.5,2.3,4.9,.457,0.3,1.0,.263,2.0,3.9,.507,.484,0.7,0.9,.765,1.5,1.9,3.4,0.8,0.6,1.0,0.7,1.1,5.5
2115,Tyus Jones,jonesty01,2015-16,19,MIN,NBA,PG,37,0,15.5,1.5,4.2,.359,0.4,1.4,.302,1.1,2.8,.388,.410,0.8,1.1,.718,0.2,1.1,1.3,2.9,0.8,0.1,0.9,0.9,4.2
2117,Wali Jones,joneswa02,1964-65,22,BAL,NBA,SG,77,,16.2,2.0,5.3,.375,,,,2.0,5.3,.375,.375,1.3,1.8,.728,,,1.8,2.6,,,,2.5,5.3
2118,Wil Jones,joneswi02,1969-70,22,MMF,ABA,PF,74,,22.9,3.3,8.3,.394,0.0,0.1,.182,3.3,8.2,.398,.396,1.6,2.2,.728,3.0,4.6,7.6,0.6,,,1.4,2.8,8.2
2120,Adonis Jordan,jordaad01,1993-94,23,DEN,NBA,PG,6,0,13.2,1.0,3.8,.261,0.5,1.7,.300,0.5,2.2,.231,.326,0.0,0.0,,0.5,0.5,1.0,3.2,0.0,0.2,1.0,1.0,2.5
2121,Charles Jordan,jordach01,1975-76,22,INA,ABA,SF,71,,12.0,2.3,5.3,.434,0.0,0.1,.200,2.3,5.1,.441,.437,0.6,1.0,.597,1.3,1.7,3.0,0.7,0.5,0.2,1.2,2.6,5.2
2122,DeAndre Jordan,jordade01,2008-09,20,LAC,NBA,C,53,13,14.5,1.8,2.8,.633,0.0,0.0,,1.8,2.8,.633,.633,0.8,2.1,.385,1.4,3.1,4.5,0.2,0.2,1.1,0.8,1.8,4.3
2123,Eddie Jordan,jordaed01,1977-78,23,TOT,NBA,PG,73,,16.6,2.9,7.4,.400,,,,2.9,7.4,.400,.400,1.8,2.3,.784,0.5,1.2,1.6,2.4,1.7,0.3,1.5,1.3,7.7
2124,Jerome Jordan,jordaje01,2011-12,25,NYK,NBA,C,21,0,5.1,0.8,1.6,.515,0.0,0.0,,0.8,1.6,.515,.515,0.4,0.5,.800,0.7,0.6,1.3,0.2,0.0,0.3,0.1,0.7,2.0
2125,Michael Jordan,jordami01,1984-85,21,CHI,NBA,SG,82,82,38.3,10.2,19.8,.515,0.1,0.6,.173,10.1,19.2,.526,.518,7.7,9.1,.845,2.0,4.5,6.5,5.9,2.4,0.8,3.5,3.5,28.2
2126,Reggie Jordan,jordare01,1993-94,26,LAL,NBA,SG,23,0,11.3,1.9,4.5,.427,0.1,0.2,.500,1.8,4.3,.424,.437,1.5,2.2,.686,2.0,0.9,2.9,1.1,0.6,0.2,0.6,1.1,5.4
2127,Thomas Jordan,jordath01,1992-93,24,PHI,NBA,PF,4,0,26.5,4.5,10.3,.439,0.0,0.0,,4.5,10.3,.439,.439,2.0,4.3,.471,1.3,3.5,4.8,0.8,0.8,1.3,3.0,3.5,11.0
2128,Walter Jordan,jordawa01,1980-81,24,CLE,NBA,SF,30,,6.9,1.0,2.5,.387,0.0,0.0,,1.0,2.5,.387,.387,0.3,0.6,.588,0.8,0.6,1.4,0.4,0.4,0.2,0.6,1.2,2.3
2133,Cory Joseph,josepco01,2011-12,20,SAS,NBA,PG,29,1,9.2,0.8,2.4,.314,0.1,0.5,.200,0.7,1.9,.345,.336,0.4,0.6,.647,0.2,0.7,0.9,1.2,0.2,0.1,0.4,0.6,2.0
2134,Garth Joseph,josepga01,2000-01,27,TOT,NBA,C,4,0,4.0,0.3,1.3,.200,0.0,0.0,,0.3,1.3,.200,.200,0.0,0.5,.000,0.5,0.0,0.5,0.3,0.0,0.3,0.5,0.3,0.5
2135,Kris Joseph,josepkr01,2012-13,24,TOT,NBA,SF,10,0,5.4,0.2,1.4,.143,0.0,0.3,.000,0.2,1.1,.182,.143,0.5,0.8,.625,0.1,0.6,0.7,0.1,0.3,0.0,0.2,0.3,0.9
2136,Yvon Joseph,josepyv01,1985-86,28,NJN,NBA,C,1,0,5.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,2.0,2.0,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
2137,Kevin Joyce,joyceke01,1973-74,22,INA,ABA,SG,56,,17.6,3.1,7.7,.396,0.1,0.5,.185,3.0,7.2,.410,.402,1.1,1.4,.821,0.6,1.1,1.6,2.3,0.6,0.1,1.4,1.5,7.3
2139,Jeff Judkins,judkije01,1978-79,22,BOS,NBA,SF,81,,18.8,3.6,7.2,.503,,,,3.6,7.2,.503,.503,1.5,1.8,.815,0.9,1.5,2.4,1.8,1.0,0.1,1.3,2.3,8.8
2143,Chris Kaman,kamanch01,2003-04,21,LAC,NBA,C,82,61,22.5,2.4,5.3,.460,0.0,0.0,.000,2.4,5.3,.462,.460,1.2,1.7,.697,1.5,4.1,5.6,1.0,0.3,0.9,1.9,2.6,6.1
2144,Frank Kaminsky,kaminfr01,2015-16,22,CHO,NBA,C,81,3,21.1,2.7,6.5,.410,0.8,2.5,.337,1.8,4.0,.455,.474,1.3,1.8,.730,0.9,3.3,4.1,1.2,0.5,0.5,0.7,1.6,7.5
2145,Enes Kanter,kanteen01,2011-12,19,UTA,NBA,C,66,0,13.2,1.8,3.6,.496,0.0,0.0,.000,1.8,3.6,.498,.496,1.1,1.6,.667,1.6,2.6,4.2,0.1,0.3,0.3,0.8,1.3,4.6
2147,Jason Kapono,kaponja01,2003-04,22,CLE,NBA,SF,41,3,10.4,1.3,3.1,.403,0.5,1.1,.477,0.8,2.1,.365,.484,0.5,0.6,.833,0.5,0.9,1.3,0.3,0.3,0.0,0.5,1.0,3.5
2149,Sergey Karasev,karasse01,2013-14,20,CLE,NBA,SF,22,1,7.1,0.5,1.6,.343,0.2,0.9,.211,0.4,0.7,.500,.400,0.4,0.5,.900,0.0,0.7,0.7,0.3,0.1,0.0,0.5,1.0,1.7
2150,Coby Karl,karlco01,2007-08,24,LAL,NBA,SG,17,0,4.2,0.5,1.5,.346,0.2,0.8,.308,0.3,0.8,.385,.423,0.5,0.6,.800,0.2,0.6,0.8,0.5,0.2,0.1,0.3,0.2,1.8
2151,George Karl,karlge01,1973-74,21,SAA,ABA,PG,74,,18.1,3.2,6.8,.470,0.1,0.3,.364,3.1,6.5,.475,.478,1.3,1.5,.832,0.6,1.1,1.7,2.2,0.9,0.1,1.2,2.2,7.8
2153,Mario Kasun,kasunma01,2004-05,24,ORL,NBA,C,45,0,7.9,1.0,2.2,.480,0.0,0.0,.000,1.0,2.2,.485,.480,0.5,1.0,.558,1.2,1.7,2.8,0.2,0.2,0.3,0.6,1.9,2.6
2156,Sasha Kaun,kaunsa01,2015-16,30,CLE,NBA,C,25,0,3.8,0.4,0.7,.529,0.0,0.0,,0.4,0.7,.529,.529,0.2,0.4,.455,0.5,0.6,1.0,0.1,0.2,0.2,0.3,0.4,0.9
2158,Clarence Kea,keacl01,1980-81,21,DAL,NBA,PF,16,,12.4,2.3,5.1,.457,0.0,0.1,.000,2.3,5.0,.463,.457,2.7,3.9,.694,1.8,2.4,4.2,0.3,0.4,0.1,1.0,2.8,7.3
2161,Adam Keefe,keefead01,1992-93,22,ATL,NBA,PF,82,6,18.9,2.3,4.6,.500,0.0,0.0,.000,2.3,4.6,.501,.500,2.0,2.9,.700,2.1,3.2,5.3,1.0,0.7,0.2,1.2,2.4,6.6
2162,Harold Keeling,keeliha01,1985-86,22,DAL,NBA,SG,20,0,3.8,0.9,2.0,.436,0.0,0.0,,0.9,2.0,.436,.436,0.5,0.7,.714,0.2,0.2,0.3,0.5,0.4,0.0,0.4,0.5,2.2
2163,Bill Keller,kellebi01,1969-70,22,INA,ABA,SG,82,,18.1,3.1,7.7,.397,0.5,1.9,.273,2.6,5.9,.438,.431,2.0,2.4,.850,0.9,1.2,2.1,2.9,,,1.4,1.9,8.7
2166,Rich Kelley,kelleri01,1975-76,22,NOJ,NBA,C,75,,17.9,2.5,5.1,.485,,,,2.5,5.1,.485,.485,2.1,2.7,.776,2.6,4.5,7.0,2.1,0.7,0.8,,2.8,7.0
2167,Clark Kellogg,kellocl01,1982-83,21,IND,NBA,PF,81,81,34.1,8.4,17.5,.479,0.0,0.2,.222,8.3,17.3,.482,.480,3.2,4.3,.741,4.2,6.4,10.6,2.8,1.7,0.5,2.7,3.7,20.1
2170,Ryan Kelly,kellyry01,2013-14,22,LAL,NBA,PF,59,25,22.2,2.7,6.3,.423,0.8,2.4,.338,1.8,3.9,.476,.488,1.9,2.3,.815,0.7,3.0,3.7,1.6,0.5,0.8,0.8,2.5,8.0
2172,Greg Kelser,kelsegr01,1979-80,22,DET,NBA,SF,50,,24.7,5.6,11.9,.472,0.1,0.3,.200,5.5,11.6,.479,.475,2.9,4.1,.719,2.5,3.0,5.5,2.2,1.2,0.7,2.8,3.5,14.2
2174,Shawn Kemp,kempsh01,1989-90,20,SEA,NBA,PF,81,1,13.8,2.5,5.2,.479,0.0,0.1,.167,2.5,5.1,.488,.481,1.4,2.0,.736,1.8,2.5,4.3,0.3,0.6,0.9,1.3,2.5,6.5
2175,Tim Kempton,kemptti01,1986-87,23,LAC,NBA,PF,66,6,14.2,1.5,3.1,.471,0.0,0.0,.000,1.5,3.1,.473,.471,1.4,2.1,.693,1.1,1.9,2.9,0.8,0.6,0.2,0.7,2.5,4.4
2177,Luke Kennard,kennalu01,2017-18,21,DET,NBA,SG,68,5,19.3,2.6,6.1,.434,1.0,2.6,.400,1.6,3.5,.460,.519,0.8,0.9,.873,0.3,1.9,2.2,1.6,0.6,0.2,0.9,1.1,7.1
2178,D.J. Kennedy,kennedj01,2011-12,22,CLE,NBA,SF,2,0,29.5,2.5,6.0,.417,1.0,2.0,.500,1.5,4.0,.375,.500,0.0,1.0,.000,0.5,3.0,3.5,1.5,1.0,0.0,1.5,3.5,6.0
2179,Goo Kennedy,kennego01,1971-72,22,DLC,ABA,PF,65,,22.4,3.6,6.2,.576,0.0,0.0,,3.6,6.2,.576,.576,1.4,2.0,.662,2.6,4.9,7.5,1.0,,,1.2,4.0,8.6
2182,Larry Kenon,kenonla01,1973-74,21,NYA,ABA,PF,84,,34.6,7.0,15.2,.462,0.0,0.0,.000,7.0,15.2,.463,.462,1.9,2.6,.703,4.5,7.0,11.5,1.3,0.9,0.2,3.0,3.0,15.9
2184,Jonathan Kerner,kernejo01,1998-99,24,ORL,NBA,C,1,0,5.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2186,Steve Kerr,kerrst01,1988-89,23,PHO,NBA,PG,26,0,6.0,0.8,1.8,.435,0.3,0.7,.471,0.5,1.1,.414,.522,0.2,0.3,.667,0.1,0.5,0.7,0.9,0.3,0.0,0.2,0.5,2.1
2188,Jerome Kersey,kerseje01,1984-85,22,POR,NBA,SF,77,0,12.4,2.3,4.8,.478,0.0,0.0,.000,2.3,4.8,.482,.478,1.5,2.4,.646,1.2,1.4,2.7,0.8,0.6,0.4,0.9,1.9,6.1
2190,Alec Kessler,kesslal01,1990-91,24,MIA,NBA,C,78,18,16.1,2.6,6.0,.425,0.0,0.1,.000,2.6,5.9,.429,.425,1.1,1.7,.672,1.5,2.8,4.3,0.4,0.2,0.3,1.4,2.4,6.2
2191,Lari Ketner,ketnela01,1999-00,22,TOT,NBA,PF,22,0,6.0,0.6,1.5,.406,0.0,0.0,,0.6,1.5,.406,.406,0.4,0.5,.667,0.5,1.0,1.5,0.0,0.2,0.1,0.5,0.9,1.5
2192,Julius Keye,keyeju01,1969-70,23,DNR,ABA,C,77,,21.3,3.2,8.0,.396,0.0,0.1,.000,3.2,7.9,.401,.396,1.5,2.5,.601,2.4,4.4,6.9,0.6,,,1.3,2.7,7.9
2193,Randolph Keys,keysra01,1988-89,22,CLE,NBA,SF,42,0,7.9,1.8,4.1,.430,0.0,0.2,.100,1.7,3.9,.451,.433,0.5,0.7,.690,0.5,0.8,1.3,0.5,0.3,0.1,0.5,1.2,4.0
2194,Viktor Khryapa,khryavi01,2004-05,22,POR,NBA,SF,32,5,16.3,1.7,3.9,.435,0.1,0.3,.364,1.6,3.5,.442,.452,0.7,1.3,.548,0.9,2.5,3.4,0.8,0.6,0.6,1.0,2.5,4.2
2195,Jason Kidd,kiddja01,1994-95,21,DAL,NBA,PG,79,79,33.8,4.2,10.8,.385,0.9,3.3,.272,3.3,7.6,.433,.426,2.4,3.5,.698,1.9,3.5,5.4,7.7,1.9,0.3,3.2,1.8,11.7
2196,Warren Kidd,kiddwa01,1993-94,23,PHI,NBA,PF,68,14,13.0,1.5,2.5,.592,0.0,0.0,,1.5,2.5,.592,.592,0.7,1.3,.547,1.1,2.3,3.4,0.3,0.3,0.3,0.6,1.9,3.6
2197,Michael Kidd-Gilchrist,kiddgmi01,2012-13,19,CHA,NBA,SF,78,77,26.0,3.6,7.9,.458,0.0,0.1,.222,3.6,7.7,.462,.460,1.8,2.4,.749,1.7,4.2,5.8,1.5,0.7,0.9,1.3,2.1,9.0
2198,Irv Kiffin,kiffiir01,1979-80,28,SAS,NBA,SF,26,,8.2,1.2,3.7,.333,0.0,0.0,,1.2,3.7,.333,.333,0.7,1.0,.720,0.5,1.1,1.5,0.7,0.4,0.1,1.2,1.7,3.2
2201,Carl Kilpatrick,kilpaca01,1979-80,23,UTA,NBA,C,2,,3.0,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.5,1.0,.500,0.5,1.5,2.0,0.0,0.0,0.0,0.0,0.5,1.5
2202,Sean Kilpatrick,kilpase01,2014-15,25,MIN,NBA,SG,4,0,18.0,1.8,5.0,.350,1.0,3.3,.308,0.8,1.8,.429,.450,1.0,1.0,1.000,0.3,1.3,1.5,1.0,0.8,0.0,0.5,0.8,5.5
2204,Bo Kimble,kimblbo01,1990-91,24,LAC,NBA,SG,62,22,16.2,2.6,6.7,.380,0.3,1.0,.292,2.3,5.7,.397,.403,1.5,1.9,.773,0.7,1.2,1.9,1.2,0.5,0.1,1.2,2.5,6.9
2205,Stan Kimbrough,kimbrst01,1989-90,23,DET,NBA,PG,10,0,5.0,0.7,1.6,.438,0.0,0.0,,0.7,1.6,.438,.438,0.2,0.2,1.000,0.4,0.3,0.7,0.5,0.4,0.0,0.4,0.4,1.6
2206,Chad Kinch,kinchch01,1980-81,22,TOT,NBA,SG,41,,8.6,1.3,3.4,.369,0.0,0.0,,1.3,3.4,.369,.369,0.3,0.4,.778,0.2,0.6,0.8,1.1,0.3,0.1,0.7,0.8,2.9
2207,Albert King,kingal01,1981-82,22,NJN,NBA,SF,76,52,22.3,5.1,10.7,.482,0.0,0.2,.231,5.1,10.5,.486,.483,1.8,2.3,.778,1.4,2.7,4.1,1.9,0.8,0.5,2.4,3.4,12.1
2208,Bernard King,kingbe01,1977-78,21,NJN,NBA,SF,79,,39.1,10.1,21.1,.479,,,,10.1,21.1,.479,.479,4.0,5.8,.677,3.4,6.2,9.5,2.4,1.5,0.5,3.9,3.8,24.2
2209,Chris King,kingch01,1993-94,24,SEA,NBA,SF,15,0,5.7,1.3,3.2,.396,0.1,0.5,.286,1.1,2.7,.415,.417,1.0,1.7,.577,0.3,0.7,1.0,0.7,0.3,0.0,0.8,0.8,3.7
2211,Frankie King,kingfr01,1995-96,23,LAL,NBA,PG,6,0,3.3,0.5,1.8,.273,0.0,0.2,.000,0.5,1.7,.300,.273,0.2,0.5,.333,0.2,0.2,0.3,0.3,0.3,0.0,0.3,0.7,1.2
2213,Gerard King,kingge02,1998-99,26,SAS,NBA,SF,19,0,3.3,0.3,0.7,.429,0.0,0.0,,0.3,0.7,.429,.429,0.6,0.9,.611,0.3,0.4,0.7,0.2,0.1,0.1,0.2,0.6,1.2
2215,Jimmy King,kingji02,1995-96,22,TOR,NBA,SG,62,1,14.0,1.8,4.1,.431,0.1,0.5,.147,1.7,3.6,.475,.441,0.9,1.2,.701,0.7,1.1,1.8,1.4,0.3,0.2,1.0,1.2,4.5
2216,Loyd King,kinglo01,1971-72,22,MMP,ABA,SG,74,,15.6,2.5,6.7,.374,0.3,1.2,.241,2.2,5.5,.403,.396,1.3,1.6,.807,0.5,1.0,1.5,1.4,,,1.0,2.3,6.6
2218,Reggie King,kingre01,1979-80,22,KCK,NBA,PF,82,,25.0,3.1,6.1,.515,0.0,0.0,.000,3.1,6.1,.516,.515,1.9,2.7,.726,2.2,4.7,6.9,1.3,0.8,0.4,1.2,2.8,8.2
2219,Rich King,kingri01,1991-92,22,SEA,NBA,C,40,2,5.3,0.7,1.8,.380,0.0,0.0,.000,0.7,1.8,.386,.380,0.9,1.1,.756,0.5,0.7,1.2,0.3,0.1,0.1,0.5,1.1,2.2
2220,Ron King,kingro01,1973-74,22,KEN,ABA,SG,9,,14.0,2.7,7.8,.343,0.2,0.7,.333,2.4,7.1,.344,.357,1.6,1.9,.824,0.9,1.2,2.1,1.6,0.6,0.2,0.8,1.6,7.1
2221,Stacey King,kingst01,1989-90,23,CHI,NBA,PF,82,2,21.7,3.3,6.5,.504,0.0,0.0,.000,3.3,6.5,.505,.504,2.4,3.3,.727,2.1,2.6,4.7,1.1,0.5,0.7,1.5,2.6,8.9
2224,Tarence Kinsey,kinseta01,2006-07,22,MEM,NBA,SG,48,12,20.1,2.9,6.3,.457,0.3,1.0,.283,2.6,5.4,.488,.479,1.6,2.0,.796,0.6,1.4,2.0,0.9,1.1,0.0,1.0,1.2,7.7
2225,Andrei Kirilenko,kirilan01,2001-02,20,UTA,NBA,SF,82,40,26.2,3.5,7.7,.450,0.3,1.2,.250,3.2,6.5,.488,.470,3.5,4.5,.768,1.8,3.1,4.9,1.1,1.4,1.9,1.3,1.9,10.7
2226,Alex Kirk,kirkal01,2014-15,23,CLE,NBA,C,5,0,2.8,0.2,0.8,.250,0.0,0.0,,0.2,0.8,.250,.250,0.4,0.4,1.000,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.8
2231,Curtis Kitchen,kitchcu01,1986-87,23,SEA,NBA,PF,6,0,5.2,0.5,1.0,.500,0.0,0.2,.000,0.5,0.8,.600,.500,0.5,0.7,.750,0.7,0.8,1.5,0.2,0.3,0.5,0.0,0.7,1.5
2232,Greg Kite,kitegr01,1983-84,22,BOS,NBA,C,35,1,5.6,0.9,1.9,.455,0.0,0.0,,0.9,1.9,.455,.455,0.1,0.5,.313,0.8,1.0,1.8,0.2,0.0,0.1,0.6,1.2,1.9
2233,Kerry Kittles,kittlke01,1996-97,22,NJN,NBA,SG,82,57,36.7,6.2,14.5,.426,1.9,5.1,.377,4.3,9.4,.453,.493,2.1,2.8,.771,1.3,2.6,3.9,3.0,1.9,0.4,1.5,2.0,16.4
2234,Maxi Kleber,klebima01,2017-18,26,DAL,NBA,PF,67,36,16.6,2.0,4.2,.468,0.5,1.7,.283,1.5,2.5,.593,.525,0.6,0.9,.754,1.0,2.1,3.0,0.7,0.4,0.6,0.4,1.6,5.0
2235,Joe Kleine,kleinjo01,1985-86,24,SAC,NBA,C,80,18,14.8,2.0,4.3,.465,0.0,0.0,,2.0,4.3,.465,.465,1.2,1.6,.723,1.4,3.3,4.7,0.6,0.3,0.4,1.3,2.8,5.2
2236,Linas Kleiza,kleizli01,2005-06,21,DEN,NBA,PF,61,2,8.5,1.3,2.8,.445,0.0,0.2,.154,1.2,2.6,.469,.451,0.9,1.3,.704,0.6,1.3,1.9,0.2,0.2,0.2,0.3,1.4,3.5
2241,Billy Knight,knighbi01,1974-75,22,INA,ABA,SF,80,,32.0,7.3,13.6,.534,0.1,0.2,.250,7.2,13.4,.538,.535,2.6,3.2,.799,3.6,4.4,7.9,2.1,1.4,0.4,3.0,2.4,17.1
2243,Brandin Knight,knighbr02,2004-05,23,HOU,NBA,PG,1,0,3.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2244,Brandon Knight,knighbr03,2011-12,20,DET,NBA,PG,66,60,32.3,4.8,11.7,.415,1.6,4.2,.380,3.2,7.5,.434,.483,1.6,2.1,.759,0.5,2.7,3.2,3.8,0.7,0.2,2.6,2.3,12.8
2245,Brevin Knight,knighbr01,1997-98,22,CLE,NBA,PG,80,76,31.0,3.3,7.4,.441,0.0,0.1,.000,3.3,7.3,.446,.441,2.5,3.1,.801,0.8,2.3,3.2,8.2,2.5,0.2,2.4,3.4,9.0
2246,Negele Knight,knighne01,1990-91,23,PHO,NBA,PG,64,6,12.4,2.0,4.8,.425,0.1,0.4,.240,2.0,4.4,.442,.435,1.1,1.8,.602,0.3,0.8,1.1,3.0,0.3,0.1,1.2,1.3,5.3
2248,Toby Knight,knighto01,1977-78,22,NYK,NBA,SF,80,,14.6,2.8,5.8,.477,,,,2.8,5.8,.477,.477,0.8,1.2,.649,1.5,2.5,4.0,0.5,0.6,0.4,1.2,2.6,6.3
2249,Travis Knight,knightr01,1996-97,22,LAL,NBA,C,71,14,16.3,2.0,3.9,.509,0.0,0.0,,2.0,3.9,.509,.509,0.9,1.4,.620,1.8,2.7,4.5,0.5,0.4,0.8,0.7,2.4,4.8
